houses_link	review_link	author	message
ЦДС Чёрная речка	Отзывы	Анастасия К.	"Симпатичный ЖК;)
Территория закрытая - посторонние не пройдут. Внутри небольшой дворик, в котором можно уютно посидеть."
ЦДС Чёрная речка	Отзывы	Карина С.	Отличное расположение. Хорошее благоустройство. Милые соседи. Инфраструктура коммерческая в процессе  разрастания.
ЦДС Чёрная речка	Отзывы	Ольга Ф.	"Прекрасный ЖК, во-первых, шикарное расположение - до Петроградки пять минут пешком, до Невского 7 км, рядом две станции метро - десять минут пешком по парку с уточками, рядом две набережные… набережную Чёрной речки планируют облагородить, уже выделены средства и рендеры есть в сети… район меняется на глазах - всё застраиваемся новыми, достойными проектами.

Сам ЖК это не муравейник с высотками, это стильные невысокие дома в одном лаконичном стиле, а панорамные алюминиевые окна - такой размер это просто мечта, в квартире светло даже в дождливые дни!

Планировки довольно удачные, санузлов два и даже три, гардеробные, окна в ванной, возможности перепланировки бесконечны.
Я в восторге от нашей новой квартиры, от нашего двора, все очень культурно, цивильно, аккуратно, просторно, светло, современно. Прекрасные входные группы, территорию по весне облагородят до конца, будет закончен и оформлен променад. Открываются магазинчики, вполне достойные, сдаётся весной подземный паркинг, соседние корпуса сдаются даже раньше срока, мы покупкой в данном жк очень довольны."
ЦДС Чёрная речка	Отзывы	Роман Е.	"локация отличная, но ЦДС не дотягивает до строителя бизнес класса:
1. экономя на лифтах, гремят так как будто им по сто лет
2. Поставила дорогую электронику умного дома но не настроила, по этому функциональность на нуле
3. Втюхала свою управляющую компанию которая из штанов выпрыгивает что бы переложить все недочеты строительства на жильцов
4. Озеленение на двоечку
и всякая мелочь, где экономия на копейку а минус к карме на тысячу"
ЦДС Чёрная речка	Отзывы	Маргарита Гуляева	Понравился район,где находится ЖК!) Дома стильные,красивые небольшие дворики,от метро до ЖК шла 15-18 минут.
ЦДС Чёрная речка	Отзывы	vkutuzova	Отличное тихое место в большом городе. Благоустроенный жилой массив для удобного проживания, хорошие планировки. Все в шаговой доступности. Неподалеку со станцией метро Черная речка.
ЦДС Чёрная речка	Отзывы	Наталья Колосова	Удобное расположение, метро в 10 минутах ходьбы, тихое место, простор и море воздуха! Детские площадки, кафе, магазины! Нева, телебашня, Петропавловка и Исаакиевский Собор видны из окна!
ЦДС Чёрная речка	Отзывы	Вероника Михайлова	Интересная и разнообразная планировка, нравится транспортная доступность, достойный ЖК
ЦДС Чёрная речка	Отзывы	Камиль	Да,застройщика, не сравнить, ни с ленстройтрестом, ни с господином, митином, квартиры бизнес класса,заметно, на материал, не пыжили.., красавцы!!!
ЦДС Чёрная речка	Отзывы	Артём С.	"Классный бизнес-класс с очень выгодным местоположением. 
Мне понравился этот проект!"
ЦДС Чёрная речка	Отзывы	Александра Б.	На мой взгляд очень удобное расположение. Рядом есть все необходимое.
ЦДС Чёрная речка	Отзывы	николай	Здесь живу, расположение у реки. Все условия для жизни и отдыха и спорта. Окна смотрят на телебашню, прямых окон в окно нет. Надо выбирать. Есть квартиры все окна в двор, не есть гуд. Сам риэлтор и юрист помогу соседям и жителям решить выгодно и быстро квартирный вопрос. Опыт с 1994 года
ЦДС Чёрная речка	Отзывы	Екатерина Васильевна	Хороший жк, удобное расположение, рядом много зелёных зон. Жизнь комфортная, огромная территория, своя парковка, рядом метро
ЦДС Чёрная речка	Отзывы	Вячеслав	Хороший ЖК, между м Лесной и м Чёрная речка. Удобное расположение, остановка транспорта рядом с домом, есть продукты в доме. Сами дома тёплые, парадные светлые и просторные. УК оперативно решает вопросы, вокруг чистота, зимой снег убирали вовремя, мусор вывозят регулярно. Ремонтируем квартиры в этих домах с декабря 2021года.
ЦДС Чёрная речка	Отзывы	Камал Шихаев	Удачное расположение ЖК. На первый взгляд кажется что какое то место не понятное, но после всех работ, место будет то что надо
ЦДС Чёрная речка	Отзывы	Юлия А.	Чудесный современный и стильный комплекс! Приятно наблюдать со стороны )
ЦДС Чёрная речка	Отзывы	Денис Е	"Один из лучших на мой взгляд комплексов! 
Удобная локация, интересный внешний вид, продуманные планировки. 
Комплекс располагает всем необходимым не только для комфортного семейного отдыха, но и для деловой жизни.
Ещё есть свободные квартиры- подберём!"
ЦДС Чёрная речка	Отзывы	Игорь риелтор	Тихое место. Хорошие планировки.понарамные окна. Но небольшие лоджии
ЦДС Чёрная речка	Отзывы	Филипп Коган	Купил квартиру «бизнес класса»  качество строительства оставляет делать лучшего , уже стали появляться трещины на стенах. В декабре были промерзания внешних углов и  по стенам просто текло. Гарантийный отдел просто забил на мои заявления, из окон дует, дал заявку на регулировку окон 09.01, прошло 45 дней так ничего и не сделали. Спустился в паркинг, между потолочными плитами забетонирована пустая бутылка от кока колы. Обратная связь от цдс по заявлениям  не поступает. Цена не соответствует качеству!
ЦДС Чёрная речка	Отзывы	AS	"Жуткое гетто - месиво из высотных домов, которое вполне бы могло ""украсить"" Шушары или Мурино, воткнули рядом с историческим районом Чёрная речка. Унылая, безликая , ""никакая"" архитектура, близко расположенные дома с окнами в окна. Потрясающие виды на дымовые трубы котельной Газкомплект."
ЦДС Чёрная речка	Отзывы	Olga Nurutdinova	"Если в вашей жизни недостаточно проблем, добро пожаловать в ЖК ЦДС «Черная речка».
Если после приемки квартиры у вас появляются недостатки, не обнаруженные во время приемки, например - протекающий витраж - будьте готовы к тому, что по вашей заявке придет строитель и расскажет вам о том, что это скопление конденсата, а конденсат скапливается - потому что проект, по которому дом построен - так себе, если не совсем плохой.  А также о том, чтобы протечек не было, и не образовывался конденсат, лучше не находится в квартире, ну, в крайнем случае - не открывать дверь на лоджию.
И дальше , как говорится «спасение утопающих - дело рук самих утопающих», а дословно «утепляйтесь сами, а то, видите ли, хотите получить блага цивилизации за деньги застройщика». И это - ЖК бизнес класса!!!!
Абсолютно неклиентоориентированная компания, как и работники, ее представляющие.
Если в вашей квартире обнаружились другие недостатки, не связанные с использованием квартиры именно вами, то нужно быть готовым к тому, что управляющая компания ЦДС «УК «черная речка» приложит максимум усилий, и не только, вплоть до совершения подлога, чтобы навредить вам еще больше."
ЦДС Чёрная речка	Отзывы	Инкогнито 8771	"ЖК вполне симпатичный, хорошее местоположение ,2 ветки метро (красная и синяя),в доступности 15-20 минут пешком.
Напротив строится ЖК Белый остров."
ЦДС Чёрная речка	Отзывы	лейла	шикарное расположение дома, 5-10 минут на машине до петроградки и вы уже в культурном центре петербурга. атмосфера приятная, люди тоже хороши. единственный минус-бомжи на новых лавках, но бомжи культурные, мы же в петербурге все таки
ЦДС Чёрная речка	Отзывы	елена коверная	"Прекрасно , исторический центр рядом , Нева и малая Невка, Чёрная речка в шаговой доступности , парки близко. 
Метро 10 мин. 
ЖК новый , технологии современные.  
Оч качественно"
ЦДС Чёрная речка	Отзывы	Юля К.	Отвратительный квартал! Лифты не работают, зимой в кв холод, обещали Шлакбаум. Машины ставить не где, это не бизнес дома, а ниже эконом. Не покупайте здесь кв, УК ничего не делает! Прежде чем покупать здесь кв, хорошо подумайте, мы очень жалеем что купили и попали в это болото!
ЦДС Чёрная речка	Отзывы	Елена К.	Положительные отзывы видимо менеджерами пишутся... Очень разочаровала покупка - это ни разу не бизнес класс, окружение плохое, очень плохая и дешёвая отделка, внутренний двор не закрывается - проходной двор...,УК ужасная, рядом подстанция, которая шумит...
ЦДС Чёрная речка	Отзывы	Богдан Зайцев	Хорошее жилье, я доволен. Район неплох в плане экологии, обживаемся потихоньку.
Галактика	Отзывы	Евгений Разин	"Я посетил компьютерный клуб и остался очень доволен своим опытом!
Весь персонал был очень приветливым и гостеприимным, всегда готовым помочь и ответить на любые вопросы.
Компьютеры были в отличном состоянии, быстрые и надежные.
Кроме того, клуб предоставлял широкий выбор игр, что позволяло найти что-то подходящее для каждого вкуса.
Цены в компьютерном клубе также оказались очень разумными и доступными. Я получил отличное соотношение цены и качества, и уверен, что вернусь сюда еще не раз.
Особенно мне понравилась атмосфера в клубе. Здесь царит дружественная и расслабленная обстановка, что создает приятную атмосферу для игры и общения с другими геймерами.
В целом, я очень рекомендую компьютерный клуб всем, кто ищет отличное место для игры и проведения времени. Здесь вы найдете все необходимое для комфортного и увлекательного игрового опыта."
Галактика	Отзывы	Зоя Козина	Приняли решение, что покупать квартиру будем тут. Очень удобный выезд на ЗСД, часто ездим за город на природу. Инфраструктура в целом разнообразная, ребёнка отдадим в школу рядом с домом и наконец-то уже сможем по урам подольше поспать и без ранних подъемов и нервотрёпки.
Галактика	Отзывы	Елена Салахова	Коплекс раполагается совсем недалеко от центра, несколько станций метро рядом, транспортная равязка прекрасная. Отличная звукоизоляция в квартирах, просто вздохнули свободно, у нас дети маленькие, проблема с укладыванием исчезла.
Галактика	Отзывы	Александр	Отличный ЖК, есть парковка, есть зоны отдыха и спорта, вечером приятно прогуляться по данной территории. Рядом есть магазины, аптеки, три станции метро, Балтийский вокзал.  До центра 4 км. Рядом всегда есть каршеринг. Холлы в зданиях чистые, просторные, три лифта. Внизу зданий имеется мини-кафе.
Галактика	Отзывы	Татьяна Златина	Хороший комфорт класс . Локация не плохая  , 2 станции метро рядом, до центра не далеко  Застройщику надо продумать ландшафтный дизайн дворов и дизайн МОПов, все как то очень печально ..
Галактика	Отзывы	Василиса Богомолова	Живу здесь 5 лет. Всё прекрасно, обслуживание от управляющей компании на высшем уровне! Новая школа, что очень удобно для людей. Чистые парки, улочки, нигде нет ни единого мусора. Охрана очень доброжелательная)
Галактика	Отзывы	Арт	Хочу обратить внимание всех заинтересованных качеством домов от застройщика Эталон на состояние входных дверей в парадные в ЖК Галактика в корпусах 9.1 и 9.3. Это первая зима и уже двери ржавые, после второй зимы будут сквозные дыры, точечное подкрашивание здесь не поможет. Доводчики вываливаются, все двери уже в отверстиях от саморезов и ржавчине, а дома заселены на 5-10%, что же будет через год?! Качество дверей ужасное.
Галактика	Отзывы	Анна	Очень хорошо и здорово тишина спокойствие очень классно всем советую машины не ездят кстати и изв этого тишина есть даже детские площадки и иза этого всё очень круто 🤟
Галактика	Отзывы	Елена Г.	Очень удобная транспортная доступность. Развита инфраструктура. Школы, детские сады, ВУЗы - все рядом.
Галактика	Отзывы	Евгений Дуров	Расположение отличное, пешей доступности станция метро Фрунзенская,жильцы дружелюбные и отзывчивые,минус только один и большой--- это охрана ЖК,охранники не добросовестно выполняют свою работу, сколько я не ходил по территории ЖК,их толком не видно или в паре прогуливаются по Парфёновской ул, Я частный охранник с другой организации и привык добросовестно выполнять всё указания и приказы,работал в ЖК на Лиговском пр. Охрана ЖК  обязана обходить всю территорию, тоесть каждое утро и вечер подниматься на последний этаж на лифте и спускаться по лестнице и осматривать каждый этаж,чтобы не было разбитого и причинённого имущества в парадный,на улице, на домах и сообщать администрации ЖК,и писать в чат чтобы жильцы знали что творится у них в парадных и домах, обходить паркинг и выполнять свою работу на всё 100% а не на 10%! Готов навести порядок в Галактикеесли есть возможность поставить меня Старшим и самому набрать  личный состав. Нужно  приложить все усилия чтобы  жильцы ЖК Галактики гордились своёй охраной а не придирались к ней за то что они так плохо  выполняют свою работу. Охрана ЖК не выполняет всё что требуется. Так же в ЖК ГАЛАКТИКА в охране постоянно меняются сотрудники охраны,тякучка сотрудников. Начальнику охраны  пишешь, а я ему хоть бы хны. Уважаемые жильцы зачем  вы платите охране деньги если они не выполняют свой обязанности, работают хоть бы как! Охрана обязана ходить утром и вечером по подьездам,подняться на последний этаж и спускаться по лестнице  и осматривать каждый этаж
Галактика	Отзывы	Федоров Антон	Удобное расположение между Парфеновской улицей и Измайловским бульваром. Рядом метро Фрунзенская и Балтийский вокзал. Лента и Варшавский экспресс. Хорошо развитая инфраструктура. Кафе, пиццерии, шавермы и кулинарии. Различные магазины с непродовольственными товарами. Много пунктов выдачи заказов ozon. Есть на Парфеновской 9к2.
Галактика	Отзывы	Ольга	"Это место называется «труба», тк здесь постоянно дует сильный ветер.
 И немного странная нумерация домов, бедные курьеры, не завидую им. Не хватает зелени и парков. 
Но, есть где погулять с собакой, детские площадки. Рядом большой фуд-корт бывшего Варшавского вокзала. Район хорошо освещается вечером и ночью, не шумно."
Галактика	Отзывы	Гуторкин Вадим	Давно нравится Приморский район. Комфортное расположение, инфраструктура супер. К тому же очень порадовали планировки квартир, оказались мега вместительными и стильными)Выбрали классную квартиру, никаких нареканий.
Галактика	Отзывы	Виталий	"ДОМ КОМФОРТ КЛАССА! 
ШКОЛА И САДИК НА ТЕРРИТОРИИ! ОТЛИЧНЫЙ МОСКОВСКИЙ РАЙОН!
Дом расположен в самом престижном и благоприятном Московском районе, вблизи Московского проспекта! Квартал Галактика окружен историей!
В шаговой доступности сразу 3 станции метро, метро Балтийская, метро Московские ворота и метро Фрунзенская! Для любителей загородных прогулок несомненным плюсом станет Балтийский вокзал и Западный скоростной диаметр (ЗСД).
Для безопасности жильцов в квартале будет предусмотрена круглосуточная система видеонаблюдения, а также система контроля доступа в парадные.
Во дворах разместятся детские игровые и спортивные площадки.
Для автомобилистов предусмотрены паркинги.
3 школы ( в двух будет бассейн)
10 детских садов
1 поликлиника
Спортивный комплекс и 2 бизнес центра
Озеленение комплекса.
Дом кирпично-монолитный с вентилируемым фасадом.
В помещениях предусмотрена вытяжка с механическим побуждением.
Счетчики учета вынесены за пределы жилой зоны, на лестничные площадки.
Потолки высотой 2,75
Малошумные скоростные лифты.
В продаже есть готовые и неслаженный квартиры на март 2022.
Готов помочь с приобретением недвижимости в данном доме."
Галактика	Отзывы	Александра Самойлова	замечательно место, по сравнению с того откуда я приехала! но сейчас, часто были случаи в подъездах, когда раздолбаны провода, потому что туда прятали сами понимаете что. это единственное, что напрягает
Галактика	Отзывы	Анастасия Калинина	Живу на девятом этаже, из окна приятный вид, хотя я бы не сказала, что у нас квартира прям какая-то видовая. Окна большие, квартиру так обставили, чтобы не терять этого света и ощущения свободного пространства.
Галактика	Отзывы	Анастасия Воробьева	С соседями поддерживаем прекрасные отношения ещё с начала ремонта. В доме много семей с детками, общаемся на площадке.
Галактика	Отзывы	Aleksandr	Хороший комплекс и застройщик! Единственное это проблема с парковочными местами будет и отсутствие деревьев и зелени вокруг домов!
Галактика	Отзывы	Анастасия Борисова	Полное отсутствие уборки территории как внутри двора, так и снаружи. Годолёд и везде грязь. Нет парковок, машины на тротуарах. Ржавые двери в подъездах. Внутри домов - обратная тяга вентиляции, в ванной температура до 11 градусов зимой падает. К покупке не советую.
Галактика	Отзывы	Олег Жуков	Очень компактно, очень солидно, уютные квартиры. Рядом метро, ж/д транспорт.
Галактика	Отзывы	Алексей Зайцев	Есть хорошие спортивные площадки на территории, туда хожу отрабатывать лишние калории. А еще я очень ценю возможность жить в центре города, для мен это лучше, чем загородная жизнь, например.
Галактика	Отзывы	Серега Круткин	ЖК объективно очень выгодно расположен - поблизости несколько станций метро. Много магазинов, садики, школы. Стилистически проект красивый, ничего лишнего и ничего недостающего.
Галактика	Отзывы	Маришка Симонян	Решились на ипотеку в прошлом году, хотя в Питере живем уже четыре года. Подобрали нам в компании классный вариант, даже не ожидала такого сервиса и человеческого внимания, хотя и наслышана была о клиентоориентированности Эталона. Словом, теперь живем в красивой квартире красивого проекта, а про город понятно и по умолчанию)).
Галактика	Отзывы	Голубков Артем	Недавно купили квартиру, инфраструктру уже успели заценить. Очень замечательная и обширная: торговый центр, магазины разные, даже кинотеатр неподалеку.
Галактика	Отзывы	ТАМАРА РАММО	Расположение отличное, отделка парадных хорошая, удобная форма доступа на территорию. По уборке мест ОП  пятерка, когда бы ни приходила- идеальная чистота. Сравнивая с домом напротив, Артквартал проигрывает. В округе много магазинов разного профиля ,  кафе, по Парфеновской устанавливают остановки ОТ , метро минут 10 хотьбы.
Галактика	Отзывы	Владимир	Хорошая локация комплекса , обустроенная придомовая территория . Очень дорогие кв , впрочем это во всех комплексах .
Галактика	Отзывы	Серафима Б.	Район очень удобный и классный, несколько станций метро: Балтийския, Московские ворота, Фрунзенская. Может когда нибудь и решимся переехать сюда. Домики симпатичные весьма.
Галактика	Отзывы	Маргарита Куценко	До метро буквально около десяти минут добираться, это недавно фантастикой для меня было : )
Галактика	Отзывы	Оксана Курбатова	Понравился и сам квартал и квартиры в нем. Уютно. Тихо. Чисто. Все, что нам было нужно, есть на первом этаже.
Галактика	Отзывы	Василий Кашин	"В приложении нашей ук ""мой дом эталон"" есть подборка подрядчиков, вдруг кто не знал. Мы весной клининг вызывали, чтоб окна помыли и в целовм обновить порядок, все хорошо сделали, жена обустроила гардеробную, оказывается , это очень нужно помещение в квартире! Вещи валяются теперь только там."
Галактика	Отзывы	Олег	"Малая Митр. дом 5. корпус 1,  парадная №2.
Есть проблема - инженерное оборудование на 9 этаже издает гул и вибрацию которые делают нахождение в квартире некомфортным. УК и застройщик уже почти год не хотят решить эту проблему, разводят руками и вяло перекладывают ответственность друг на друга.
если проблему вдруг решат, то отзыв подправлю."
Галактика	Отзывы	Евгений Заваров	Хороший удобный квартал, парковка подземная, магазины все рядом, интернет не везде есть
Галактика	Отзывы	Molli	Отличный квартал . Приезжали на выходные , новые дома, отличная квартира. Все в шаговой доступности . Верный. Пекарни. Овощи, фрукты, аптека да все ! Все!
Галактика	Отзывы	Сергей Ка	"Прекрасный новый жилой комплекс от ЭталонЛенСпецСму с развитой инфраструктурой. 
Много магазинов, кафе, пекарен.
Есть детские сады и площадки. Широкие газоны, высажено много кустов и деревьев."
Галактика	Отзывы	Эдуард Стойчев	Как расцвёл район. Очень мне понравилось. Шаг в будущее.
Галактика	Отзывы	Марина Ш.абурова	Очень нехватает парка.дворовые територии и променад капля в море.негде гулять по сидеть с книжкой.на такое большое строительство не хватает зон отдыха.все сидят друг у друга на голове.очень многолюдно и побыть в тишине возможности нет.стены из картона в квартирах слышамасть Жуть.комунальная кв.,а не отдельная.очень почувствовали .все за селилесь.
Галактика	Отзывы	Анюта А.	Неплохой жилой комплекс, но качество стройки не внушает доверия
Галактика	Отзывы	Вадим Шаихов	Отличный жилой квартал! Можно сказать, что это город в городе. Здесь есть все в шаговой доступности и, при необходимости, рядом три станции метро и можно добраться до любой точки Санкт-Петербурга.
Галактика	Отзывы	Rokot A	"Адмиралтейский район, престижное место, кому нужно метро - рядом три станции. Автолюбителям сложнее: Митрофаньевское шоссе и Московский проспект часто в пробках. Вроде бы и почти центр, и рядом всё,а ехать можно долго... Даже до заезда на ЗСД с Благодатной. 
Сам квартал ещё строится, но центральная часть уже готова, многие живут. Первые этажи пустуют: из коммерции в основном пекарни/кофейни, аптеки.
Ещё не все решения внутриквартального благоустройства реализованы, что способствует как свинству со стороны проживающих, так и хождению посторонних. Хочется верить, что это временно, до окончания строительства всех домов.
Дизайн фасадов без украшений и изысков, но глазу приятно. Зелени крайне мало, что, вероятно, тоже вопрос времени.
Обитатели квартала ждут восстановление двух исторических зданий на его территории, что весьма оживило бы общую концепцию.
На границе квартала мемориальное кладбище:) ближайшие зелёные зоны - парк авиаторов, который сейчас в запустении, и Московский парк победы. Об экологии в таком месте говорить не приходится."
Галактика	Отзывы	olga.dubinskaya	Очень плохая слышимость. Просто шёпотом скажут- все слышно. Нет деревьев. Детские площадки 1 очереди ужасны. Качество среднее.  Уродские дворы.  В домах ближе к Митрофаньевскому- вонь от переработки мусора и сжигания в ангарах.
Галактика	Отзывы	екатерина лачина	Хорошие квартиры, приятная местность! Инфраструктура развита замечательно, метро Фрунзенская в шаговой доступности (минут 5 моим тихим шагом). Очень хороший ЖК, отдельный поклон за парадные
Галактика	Отзывы	Виталий Г	Отличный новый район, много магазинчиков и кафе, а также в пешей доступности Варшавский экспресс (там есть кинотеатр) и Лента (10 мин)
Галактика	Отзывы	Sovetsky	Купили здесь квартиру, расположение очень нравится.Рядом метро, близко к аэропорту и ж/д вокзалу.Инфраструктура развивается.Через пару лет будет отличный современный район практически в центре города.
Галактика	Отзывы	Катя Гуляева	"Все, кто ставят 5 звёзд, либо откровенно лукавят, либо получили деньги за отзыв))
Жк далеко не самый плохой по спб, но косяков очень много. 
Самый главный, как тут уже отмечали, это отсутствие озеленения. Посадили, конечно, немного деревьев и кустов, но этого явно мало. Плюс ко всему, Парфеновская теперь - оживленная проезжая часть. В часы пик тут даже образуется пробка. Хорошо хоть у меня окна во двор выходят, в то бы задыхались от выхлопных газов. С коляской гулять сложно. Шум дороги, стройки, грузового транспорта который бесконечно что-то выгружает просто бесит. Тут напротив галактики премиум ещё достраивают школу - тоже шум. То от крана, то от непонятно чего.
Единственную прогулочную дорогу вдоль депо не могут никак облагородить: летом там пылища, сейчас, когда выпал снег, развезлась грязь. 
Ту крупицу зелёных насаждений, которые успели сделать, уже оттоптали индивиды с собаками. Отпускают их с поводка и собаки бегают по клумбам как ни в чем не бывало. Плюс, со стройки бегают бродячие псы, которых притащили строители. Периодически бродячие собаки лают и бросаются на прохожих с их собаками, а всякие гении их ещё и подкармливают фаршем из Верного.
Контингент тут нормальный, много мамочек и студентов, молодых пар. Смущают рабочие с близлежащих строек, которые с боем курантов 13:00 бегут дружным строем в Винлаб и Ароматный мир за пойлом.
Слышимость тут адская. Если вы разговариваете на улице во дворе, то будьте уверены, что я с открытой форточкой слышу абсолютно каждое ваше слово, даже если не хочу))
Инфраструктура неплохая, есть сады, школу строят, правда, хотелось бы ещё пару продуктовых в доме, а то одного Верного, порой бывает маловато.
Сейчас достроили дом на парфеновской 14. Думаю, когда он заселится, транспортная обстановка тут будет как на кушелевке (то есть ж*па). Так что, возможно, придётся продавать тут и кочевать в другое место, хотя район неплохой. Такие дела."
Галактика	Отзывы	Петр Гусев	Своя парковка, зимой отапливается, не нужно садиться в холодную машину и ждать, пока прогреется. Еще тут наблюдение ведется и сигнализация установлена, можно не бояться.
Галактика	Отзывы	Anton Belov	Люблю Галактику,пока она конечно строится,но здесь свой комфорт, уют и спокойствие, хорошие соседи,водим ребенка в детский сад с бассейном-очень довольны!Открылись кафе, продукты, единственное ждём побольше магазинов с промтоварами, канцелярией и детскими товарами...иначе приходится ходить в Ленту и на Московский проспект.
Галактика	Отзывы	Алексей	"Не сильно людно. С недавних пор инфраструктура очень преобразилась в связи с окончанием строительства многих домов и открытием улицы.  Не видишь ""темно-желтого"" Питера  и национально-архитектурной  специфики спальных районов. Напрягает засилие дешёвых булочных и кофеен , в некоторых домах по 4 шт((( А ещё Алко и аптека по две на дом."
Галактика	Отзывы	Антон Вайкусов	Много мест, где можно перекусить
Галактика	Отзывы	Арина Арина	Слушайте, я удивлена. Не часто бывает, что обещают в проекте благоустроенную территорию-и она есть-куча детских площадок, клумб с цветами-пекарни, аптеки.. всё необходимое- видно, что деньги не крадут под ноль-а выполняют обещания. В квартирах правда душно очень. Сантехника-самая дешевая-если берёте с отделкой-и цены конечно кусаются. Но сейчас все квартиры подорожали.Постоянно шум работ-но это нормально в новых кварталах.
