houses_link	review_link	author	message
Факел	Отзывы	Директ ADwords	Отличный жк, виды хорошие у всех квартир, свои котельные, во дворе стадионы и площадки, расположение прекрасное. С парковкой сейчас везде трудности, здесь есть подземный, если очень надо.
Факел	Отзывы	Инкогнито 3234	Дома как общаги да и построено там всё на радиации,когда ходили к общагам там были вбиты колья что повышен фон нельзя зодить,а теперь всё можно строить
Факел	Отзывы	Виктория Гришанова	Обожаю гулять там, очень красиво и всё есть рядом
Факел	Отзывы	dr.Livsey	"Застройщик так себе. Очень много косяков, которые устранять не хочет. В процессе строительства сам переписывает проектную документацию без ведома дольщиков. Будете принимать обращайте внимание на ровность стен, особенно где они переходят из одного материала в другой, геометрию окон, поддув между облицовочной и внутренней стеной, геометрию мотолитных стен и их параллельность. Так же обратите на места общего пользования (какие двери стоят, есть ли напольное покрытие на общих балконах и т.д.) 
А сам ЖК обещает быть интересным. Очень удобное расположение с точки зрения транспортной доступрости. Развитая инфраструктура. В шаговой доступности пляж на водохранилище (летом сам несколько раз там купался)."
Факел	Отзывы	Константин	Отличное месторасположение, но территория не огорожена, из-за этого во дворах бардак.
Факел	Отзывы	Дмитрий Крюк	Узкие проезды.Место под парковку не найти.
Факел	Отзывы	Алексей Бусурин	Огромный муравейник в районе где уже и так перегружено движение! Ещё и отсутствие достаточного количества парковок в комплексе. Никогда бы ни купил там квартиру!
Факел	Отзывы	Никита Батуков	Отличное место, рядом захоронение радиоактивных отходов. Фонит радиацией до сих пор, хотя закапывали еще в СССР 30 лет назад.
Факел	Отзывы	Дмитрий.	Всё хорошо, но не хватает спорт инвентаря(турники и тп) и лавочек во дворе.
Факел	Отзывы	Танина Полина	Очень мало парковочного места
Факел	Отзывы	Ксения Усманова	Нравиться. Все рядом.
Факел	Отзывы	Nikonovpv2	Классный жилой комплекс
Факел	Отзывы	Анастасия Кирпенко	"Минус: Шумоизоляция не очень. Дома стоят окна в окна. Необходимо покупать паркинг, иначе машину поставить негде. 
Плюс: Близость к центру города и развитая инфраструктура"
